IDJogo;DataHora;PontosCasa;PontosVisitante;IDEstadio;IDTimeCasa;IDTimeFora
316;01/12/2022 00:30;103;109;19;20;17
317;01/12/2022 01:00;109;101;17;18;15
318;01/12/2022 01:00;126;108;18;19;28
319;01/12/2022 01:00;119;111;20;21;27
320;01/12/2022 02:00;120;100;8;8;11
321;01/12/2022 02:00;132;113;23;24;5
322;01/12/2022 02:00;125;112;28;29;13
323;01/12/2022 03:00;137;114;25;26;12
324;01/12/2022 03:30;128;109;13;14;25
325;02/12/2022 00:00;131;125;9;9;7
326;03/12/2022 00:00;117;116;4;4;30
327;03/12/2022 00:30;117;109;1;1;8
328;03/12/2022 00:30;116;120;2;2;16
329;03/12/2022 00:30;114;105;3;3;28
330;03/12/2022 00:30;107;96;6;6;22
331;03/12/2022 00:30;129;133;16;17;14
332;03/12/2022 01:00;117;109;14;15;23
333;03/12/2022 01:00;99;117;26;27;19
334;03/12/2022 02:00;121;122;23;24;11
335;03/12/2022 02:00;139;119;28;29;12
336;03/12/2022 03:00;119;111;10;10;5
337;03/12/2022 17:30;100;121;19;20;7
338;03/12/2022 21:00;96;123;13;13;26
339;03/12/2022 23:00;96;105;4;4;17
340;04/12/2022 01:00;121;108;27;28;22
341;04/12/2022 01:00;128;135;17;18;21
342;04/12/2022 01:30;120;101;10;10;11
343;04/12/2022 02:00;111;116;28;29;25
344;04/12/2022 20:30;121;106;18;19;8
345;04/12/2022 21:00;95;133;26;27;24
346;04/12/2022 23:00;92;103;3;3;2
347;04/12/2022 23:00;112;122;9;9;15
348;04/12/2022 23:00;92;81;19;20;6
349;04/12/2022 23:00;119;130;29;30;14
350;04/12/2022 23:00;110;101;25;26;5
351;05/12/2022 02:00;116;100;24;25;12
352;06/12/2022 00:00;117;119;4;4;13
353;06/12/2022 00:00;102;109;21;22;17
354;06/12/2022 00:30;114;121;1;1;21
355;06/12/2022 00:30;110;116;27;28;2
356;06/12/2022 01:00;132;123;11;11;23
